sample_id,Title,Body,Category
18,Synthetic biologists engineer inflammation-sensing gut bacteria,"The research, published in a new study in ""The gut harbors trillions of microorganisms that play key roles in health and disease,"" Tabor said. ""However, it is a dark and relatively inaccessible place, and few technologies have been developed to study these processes in detail. On the other hand, bacteria have evolved tens of thousands of genetically encoded sensors, many of which sense gut-linked molecules. Thus, genetically engineered sensor bacteria have tremendous potential for studying gut pathways and diagnosing gut diseases.""Synthetic biologists like Tabor specialize in programming single-celled organisms like bacteria in much the same way an engineer might program a robot. In particular, Tabor's team is working to develop bacterial sensors that can detect disease signals in the gut. Like electrical engineers who build circuits from wires and electronic components, Tabor's team uses genetic circuits to program single-celled creatures to carry out complex information processing.Previous work has suggested that alterations to the gut microbiota, genetic predisposition and other environmental factors may play key roles in inflammatory bowel disease, a condition that includes Crohn's disease and ulcerative colitis and which affects as many as 1.6 million Americans.""Based on a number of previous studies, we hypothesized that the molecule thiosulfate may be elevated during colitis,"" Daeffler said. ""It has been difficult for scientists to study this link because there aren't tools for reliably measuring thiosulfate in living animals. Our first goal in this project was to engineer such a tool.""From the outset of the project in 2015, Daeffler said, the idea was to use sensor bacteria, in this case an engineered form of ""There's a link between gut sulfur metabolism and inflammation, and we knew that we needed to be able to measure sulfur metabolites accurately to diagnose colon inflammation,"" she said.Tabor said study co-author Ravi Sheth, an undergraduate researcher in the group in 2015, used a computer program to identify potential sensors of thiosulfate and other sulfur compounds in the genome of Daeffler spent one year engineering The researchers administered orally two drops containing about a billion sensor bacteria to both healthy mice and to mice with colitis. They measured the activity of the sensor bacteria in each group six hours later. The tell-tale green fluorescent protein showed up in the feces of the mice. Though it was not visible to the unaided eye, it could easily be measured with a standard laboratory instrument called a flow cytometer.The team found that the thiosulfate sensor was activated in the mice with inflammation, and was not activated in the healthy mice. Furthermore, the researchers found that the more inflammation the mouse had, the more the sensor was activated.Tabor said the study shows that gut bacteria can be outfitted with engineered sensors and used to noninvasively measure specific metabolites and that this result could open the door to many new studies that could help elucidate a wide range of gut processes.Though it would likely take several additional years of development, and it remains unknown if thiosulfate is a biomarker of human colitis, the sensor bacteria might eventually be re-engineered to function as a diagnostic of human colitis, Tabor said. In particular, the green fluorescent protein could be replaced with an enzyme that makes a colored pigment.""We'd like to develop a home inflammation test where a person prone to colitis flare-ups would eat yogurt that contained the engineered bacteria and see blue pigment in the toilet if they were sick,"" he said.Tabor said such a test could reduce unneeded and costly trips to the doctor and unneeded colonoscopy procedures, which are both expensive and invasive. He said his team has begun collaborations with gastroenterologists at Baylor to achieve this goal.",Genetically Modified
19,Trees are out of equilibrium with climate,"Under climate change, there's a growing interest in assessing whether trees and other species can keep pace with changing temperatures and rainfall, shifting where they are found, also known as their ranges, to track their suitable climates. To test this, a University of Maine-led research team studied the current ranges of hundreds of North American trees and shrubs, assessing the degree to which species are growing in all of the places that are climatically suitable. Researchers found evidence of widespread ""underfilling"" of these potential climatic habitats -- only 50% on average -- which could mean that trees already have disadvantage as the world continues to warm.Benjamin Seliger, a then UMaine Ph.D. student with the Climate Change Institute, spearheaded the study with his doctoral adviser, Jacquelyn Gill, a UMaine associate professor of paleoecology and plant ecology. Brain McGill, a UMaine professor of biological sciences, and Jens-Christian Svenning, a macroecologist and biogeographer from Aarhus University in Denmark also contributed.The team used species distribution models to assess the degree to which 447 North American trees' and shrubs' ""fill"" their potential climatic ranges by comparing regions that are climatically suitable, known as potential ranges, against where trees are actually found, or their realized ranges.The Seliger, now a postdoctoral researcher at the Center of Geospatial Analytics at North Carolina State University, and co-authors discovered a significant difference between where the trees they studied could grow, and where they actually grow, also known as range filling. The average range filling value across all 447 species equalled 48.6%, indicating that on average, trees are not found in about half of the areas that are climatically suitable for them, according to researchers.""We found tree ranges are more limited by non-climatic factors than expected, suggesting trees may not simply track warming climates."" Seliger says.Species distribution models (SDMs) are a common tool to predict how climate change will affect biodiversity and the future ranges of plants and animals. Various studies, including the one from the UMaine-led group, however, caution that because this tool assumes that species live in all areas that are climatically suitable, known as experiencing climatic equilibrium, it may not provide an accurate prediction of where species will be found in the future.An SDM relies on what has been considered a foundational principle, ""that geographic ranges generally appear to be in equilibrium with contemporary climate,"" according to researchers. Growing evidence suggests otherwise for many species, which experience climatic disequilibrium.Seliger and his team found that North American trees and shrubs with large ranges tended to show much stronger evidence of climatic equilibrium, meaning they had high range filling. Small-ranged species, however, had much lower range filling overall, performing worse than predicted by a null model. According to researchers, that means small-ranged tree species, including many rare trees and species the International Union for the Conservation of Nature (IUCN) lists as vulnerable, will face additional challenges as they try to track their climates into the future.The group also found that small-rage species may be more limited by nonclimatic influences, such as soils or pathogens. Conservation efforts for these plants and animals, therefore, should ""account for a complex interplay of factors in addition to climate when preparing for the next century of global change,"" according to researchers.Their findings support a growing body of evidence that for a climatic disequilibrium among various flora. As to what causes the disequilibrium could be due to two factors, according to researchers: dispersal lags that date back to the time when glaciers covered large portions of North American 21,000 years ago, or by non-climatic factors that may influence ranges more than previously appreciated, such as soil, competition with other plants, or symbiosis.""It's been thought that if you zoom out to the scale of North America, climate was the most important factor in determining where species would be found. This study reveals some striking gaps in our knowledge; even at the scale of an entire continent, soils or other plants and animals may be playing an important role too. We used to think those were more important at the more local scale -- think of how the trees might change across two areas of your favorite park,"" Gill says. ""All of this means that when it comes to plants, our predictive tools need to get a lot more sophisticated, if they're going to be useful for conservation.""",Climate
20,Mystery of India’s rapid move toward Eurasia 80 million years ago explained,"More than 140 million years ago, India was part of an immense supercontinent called Gondwana, which covered much of the Southern Hemisphere. Around 120 million years ago, what is now India broke off and started slowly migrating north, at about 5 centimeters per year. Then, about 80 million years ago, the continent suddenly sped up, racing north at about 15 centimeters per year -- about twice as fast as the fastest modern tectonic drift. The continent collided with Eurasia about 50 million years ago, giving rise to the Himalayas.For years, scientists have struggled to explain how India could have drifted northward so quickly. Now geologists at MIT have offered up an answer: India was pulled northward by the combination of two subduction zones -- regions in the Earth's mantle where the edge of one tectonic plate sinks under another plate. As one plate sinks, it pulls along any connected landmasses. The geologists reasoned that two such sinking plates would provide twice the pulling power, doubling India's drift velocity.The team found relics of what may have been two subduction zones by sampling and dating rocks from the Himalayan region. They then developed a model for a double subduction system, and determined that India's ancient drift velocity could have depended on two factors within the system: the width of the subducting plates, and the distance between them. If the plates are relatively narrow and far apart, they would likely cause India to drift at a faster rate.The group incorporated the measurements they obtained from the Himalayas into their new model, and found that a double subduction system may indeed have driven India to drift at high speed toward Eurasia some 80 million years ago.""In earth science, it's hard to be completely sure of anything,"" says Leigh Royden, a professor of geology and geophysics in MIT's Department of Earth, Atmospheric and Planetary Sciences. ""But there are so many pieces of evidence that all fit together here that we're pretty convinced.""Royden and colleagues including Oliver Jagoutz, an associate professor of earth, atmospheric, and planetary sciences at MIT, and others at the University of Southern California have published their results this week in the journal Based on the geologic record, India's migration appears to have started about 120 million years ago, when Gondwana began to break apart. India was sent adrift across what was then the Tethys Ocean -- an immense body of water that separated Gondwana from Eurasia. India drifted along at an unremarkable 40 millimeters per year until about 80 million years ago, when it suddenly sped up to 150 millimeters per year. India kept up this velocity for another 30 million years before hitting the brakes -- just when the continent collided with Eurasia.""When you look at simulations of Gondwana breaking up, the plates kind of start to move, and then India comes slowly off of Antarctica, and suddenly it just zooms across -- it's very dramatic,"" Royden says.In 2011, scientists believed they had identified the driving force behind India's fast drift: a plume of magma that welled up from the Earth's mantle. According to their hypothesis, the plume created a volcanic jet of material underneath India, which the subcontinent could effectively ""surf"" at high speed.However, when others modeled this scenario, they found that any volcanic activity would have lasted, at most, for 5 million years -- not nearly enough time to account for India's 30 million years of high-velocity drift.Instead, Royden and Jagoutz believe that India's fast drift may be explained by the subduction of two plates: the tectonic plate carrying India and a second plate in the middle of the Tethys Ocean.In 2013, the team, along with 30 students, trekked through the Himalayas, where they collected rocks and took paleomagnetic measurements to determine where the rocks originally formed. From the data, the researchers determined that about 80 million years ago, an arc of volcanoes formed near the equator, which was then in the middle of the Tethys Ocean.A volcanic arc is typically a sign of a subduction zone, and the group identified a second volcanic arc south of the first, near where India first began to break away from Gondwana. The data suggested that there may have been two subducting plates: a northern oceanic plate, and a southern tectonic plate that carried India.Back at MIT, Royden and Jagoutz developed a model of double subduction involving a northern and a southern plate. They calculated how the plates would move as each subducted, or sank into the Earth's mantle. As plates sink, they squeeze material out between their edges. The more material that can be squeezed out, the faster a plate can migrate. The team calculated that plates that are relatively narrow and far apart can squeeze more material out, resulting in faster drift.""Imagine it's easier to squeeze honey through a wide tube, versus a very narrow tube,"" Royden says. ""It's exactly the same phenomenon.""Royden and Jagoutz's measurements from the Himalayas showed that the northern oceanic plate remained extremely wide, spanning nearly one-third of the Earth's circumference. However, the southern plate carrying India underwent a radical change: About 80 million years ago, a collision with Africa cut that plate down to 3,000 kilometers -- right around the time India started to speed up.The team believes the diminished plate allowed more material to escape between the two plates. Based on the dimensions of the plates, the researchers calculated that India would have sped up from 50 to 150 millimeters per year. While others have calculated similar rates for India's drift, this is the first evidence that double subduction acted as the continent's driving force.""It's a lucky coincidence of events,"" says Jagoutz, who sees the results as a starting point for a new set of questions. ""There were a lot of changes going on in that time period, including climate, that may be explained by this phenomenon. So we have a few ideas we want to look at in the future.""",Earthquakes
21,The Paleozoic diet: Why animals eat what they eat,"The study, published in the journal Many species living today that are carnivorous, meaning they eat other animals, can trace this diet back to a common ancestor more than 800 million years ago.A plant-based, or herbivorous, diet is not the evolutionary driver for new species that it was believed to be. Closely related animals tend to share the same dietary category -- plant-eating, meat-eating, or both. This finding implies that switching between dietary lifestyles is not something that happens easily and often over the course of evolution.Cristian Román-Palacios, Joshua Scholl and John Wiens, all with the Department of Ecology and Evolutionary Biology at the UA, scoured the literature for data on the dietary habits of more than a million animal species, from sponges to insects and spiders to housecats. A species was classified as carnivorous if it feeds on other animals, fungi or protists (single-celled eukaryotic organisms, many of which live on bacteria). Species were classified as herbivorous if they depend on land plants, algae or cyanobacteria for food, and omnivorous if they eat a mixture of carnivorous and herbivorous diets.The scientists then mapped the vast dataset of animal species and their dietary preferences onto an evolutionary tree built from DNA-sequence data to untangle the evolutionary relationships between them.""Ours is the largest study conducted so far that examines the evolution of diet across the whole animal tree of life,"" said doctoral student Román-Palacios, lead author of the paper. ""We addressed three highly-debated and fundamental questions in evolutionary biology by analyzing a large-scale dataset using state-of-the-art methods.""All species can be classified according to their evolutionary relationships, a concept that is known as phylogeny. Organisms are grouped into taxa, which define their interrelationships across several levels. For example, cats and dogs are different species but belong to the same order (carnivores). Similarly, horses and camels belong to a different order (ungulates.) Both orders, however, are part of the same class (mammals). On the highest level, animals are classified in phyla. Examples of animal phyla are arthropods (insects, crustaceans, spiders, scorpions and the like), mollusks (snails, clams and squid fall into this phylum), and chordates, which include all animals with a backbone, including humans.The survey suggests that across animals, carnivory is most common, including 63% of species. Another 32% are herbivorous, while humans belong to a small minority, just 3%, of omnivorous animals.The researchers were surprised to find that many of today's carnivorous species trace this diet back all the way to the base of the animal evolutionary tree, more than 800 million years, predating the oldest known fossils that paleontologists have been able to assign to animal origins with certainty.""We don't see that with herbivory,"" said Wiens, professor of ecology and evolutionary biology and corresponding author of the study. ""Herbivory seems to be much more recent, so in our evolutionary tree, it appears more frequently closer to the tips of the tree.""So if the first animal was a carnivore, what did it prey on?The authors suggest the answer might lie with protists, including choanoflagellates: tiny, single-celled organisms considered to be the closest living relatives of the animals. Living as plankton in marine and freshwater, choanoflagellates are vaguely reminiscent of miniature versions of the shuttlecock batted back and forth during a game of badminton. A funnel-shaped collar of ""hairs"" surrounds a whip-like appendage called a flagellum whose rhythmic beating sucks a steady stream of water through the collar, filtering out bacteria and detritus that is then absorbed and digested. It is possible that the common ancestor of today's animals was a creature very similar to a choanoflagellate.""The ancient creature that is most closely related to all animals living today might have eaten bacteria and other protists rather than plants,"" Wiens said.Turning to a plant-based diet, on the other hand, happened much more frequently over the course of animal evolution.Herbivory has traditionally been seen as a powerful catalyst for the origin of new species -- an often-cited example is the insects, with an estimated 1.5 million described species the most diverse group among the arthropods. Many new species of flowering plants appeared during the Cretaceous period, about 130 million years ago, and the unprecedented diversity of flowers is widely thought to have coincided with an increase in insect species taking advantage of the newly available floral bounty.""This tells us that what we see in insects doesn't necessarily apply to other groups within the animal kingdom,"" Wiens said. ""Herbivory may go hand in hand with new species appearing in certain taxa, but it clearly is not a universal driver of new species.""The study also revealed that omnivorous (""eating everything"") diets popped up rarely over the course of 800 million years of animal evolution, hinting at the possible explanation that evolution prefers specialists over generalists.""You can be better at doing what you do if that is all you do,"" Wiens said. ""In terrestrial vertebrates, for example, eating a diet of leaves often requires highly modified teeth and a highly modified gut. The same goes for carnivory. Nature generally seems to avoid the dilemma of being a jack-of-all-trades and master of none, at least for diets.""This need for specialization might explain why omnivores, such as humans, are rare, according to the authors. It might also explain why diets have often gone unchanged for so long.""There is a big difference between eating leaves all the time and eating fruits every now and then,"" Wiens said. ""The specializations required to be an efficient herbivore or carnivore might explain why the two diets have been so conserved over hundreds of millions of years.""",New Species
22,Why 'lab-made' proteins have unusually high temperature stability,"Natural proteins with high 'thermostability' are prized for their wide range of applications, from baking and paper-making to chemical production. Efforts to enhance protein thermostability -- and to discover the principles behind this -- is one of the hottest topics in biotech.The latest discoveries, described in theResearchers in the relatively young field of protein design have attempted to come up with new types of proteins for myriad medical, pharmaceutical and industrial applications. Until recently, protein engineers have focused on manipulating existing natural proteins. However, these natural proteins are difficult to alter without also distorting the general functioning of the protein -- much like adding a fifth wheel to a car.To avoid this, some protein engineers have begun to build novel proteins entirely from scratch, or what is called de novo protein design.However, this quest has its own set of issues. For example, building proteins from scratch is much harder computationally, and requires a complete understanding of the principles of protein folding -- the multiple levels of how a protein literally folds itself into a particular structure.In biology, structure determines function, much like how a key fits into a keyhole or a cog into a sprocket. The shape of a biological entity is what allows it to do its job within an organism. And upon their production by cells, proteins just fall into their shape, simply as a result of physical laws.But the principles that govern the interaction of these physical laws during the folding process are frustratingly complex -- hence the computational difficulty. They are also still largely unknown. This is why a great deal of effort in protein engineering in recent years has focused on attempting to discover these protein design principles that emerge from physical laws.And one of the mysteries facing protein designers has been the high thermostability of these 'lab-made' proteins.""For some reason, de novo proteins have repeatedly shown increased tolerance in the face of quite high temperatures compared to natural proteins,"" said Nobuyasu Koga, associate professor at Institute for Molecular Science, and an author of the study. ""Where others would 'denature', the lab-made proteins are still working just fine well above 100 ºC.""The design principles that have been discovered so far emphasize the importance of the backbone structure of proteins -- the chain of nitrogen, carbon, oxygen and hydrogen atoms.On the other hand, these principles have also held that the tight packing of the fatty, hydrophobic (water-resistant) core of naturally occurring proteins -- or rather the molecular interactions that allow them to sit together as snugly as pieces of a jigsaw puzzle -- is the dominant force that drives protein folding. Just as how oil and water don't mix, the fattier part of the protein when surrounded by water will naturally pull itself together without any need for an external 'push'.""Indeed, according to our design principles, protein cores were engineered specifically to be as tightly packed and as fatty as possible,"" Nobuyasu Koga said. ""So the question was: Which is more important for high thermostability, backbone structure or the fat and tight core packing?""So the researchers took the de novo proteins they had designed that had shown the highest thermal stability, and began to tweak them with ten amino acids involved with the hydrophobic core packing. As they did this, they saw still folding ability and little reduction in overall thermal stability, suggesting that it is instead the backbone structure, not the hydrophobic core packing, that contributes the most to high thermostability. ""It is surprising that the protein can fold with high thermal stability, even the loose core packing,"" said Naohiro Kobayashi, coauthor and a senior research fellow at RIKEN.""Hydrophobic tight core packing may not even be very important for designed proteins,"" added Rie Koga, coauthor and a researcher at Exploratory Research Center on Life and Living Systems (ExCELLS). ""We can create an exceptionally stable protein even if the core packing is not so optimized.""The next step for the researchers is to further develop rational principles for protein design, especially with respect to what extent that substructures of the backbone, especially loops within it, can be altered without endangering its folding ability and high thermostability.",Biotechnology
23,Engineers devise genetic 'on' switch made exclusively of RNA,"Synthetic biologists led by Julius Lucks, assistant professor of chemical and biomolecular engineering, have created a new genetic control mechanism made exclusively of ribonucleic acids (RNA). They call their engineered RNAs STARS -- Small Transcription Activating RNAs -- described online in ""We've created a whole new toolset of regulation,"" said Lucks, who describes RNA as ""the most engineerable molecule on the planet.""RNA is a single-stranded version of its close cousin, DNA, which makes up the double-stranded genome of all living organisms. While DNA acts as nature's hard drive, storing the genes that make up our genome, RNA is part of the cellular computer that activates the hard drive by helping the cell tune the expression of specific genes, Lucks says. While RNA is known to do this in many ways, one thing it can't do in nature is start the process by turning on, or activating, transcription -- the first step in gene expression, and the core of many cellular programs.In the lab, Lucks and colleagues have assigned RNA this new role. They've engineered an RNA system that acts like a genetic switch, in which RNA tells the cell to activate the transcription of a specific gene. The STAR system involves placing a special RNA sequence upstream of a target gene that acts as a blockade and prevents the cell from transcribing that gene. When the STAR is present, it removes this blockade, turning on the downstream gene by allowing transcription to take place. The effect is like a lock-and-key system for turning genes on, with STARs acting as a set of genetic keys for unlocking cellular genetic programs.""RNA is like a molecular puzzle, a crazy Rubik's cube that has to be unlocked in order to do different things,"" Lucks said. ""We've figured out how to design another RNA that unlocks part of that puzzle. The STAR is the key to that lock.""RNA is Lucks' favorite molecule because it's simple -- much simpler than a protein -- and its function can be engineered by designing its structure. In fact, new experimental and computational technologies, some developed by Lucks' lab, are now giving quick access to their structures and functions, enabling a new era of biomolecular design that is much more difficult to do with proteins.Lucks envisions RNA-only, LEGO-like genetic circuits that can act as cellular computers. RNA-engineered gene networks could also offer diagnostic capabilities, as similar RNA circuits have been shown to activate a gene only if, for example, a certain virus is present.""This is going to open up a whole set of possibilities for us, because RNA molecules make decisions and compute information really well, and they detect things really well,"" Lucks said.The paper is called ""Creating Small Transcription Activating RNAs,"" and its co-authors are postdoctoral associate James Chappell and graduate student Melissa Takahashi. Supporters include the National Science Foundation, the Defense Advanced Research Projects Agency and the Office of Naval Research.",Genetically Modified
24,'Gentle recovery' of Brazil's leatherback turtles,"Scientists studied nesting sites in the state of Espírito Santo in eastern Brazil -- the only place in the south-west Atlantic where leatherbacks regularly nest.Data on this small population from 1988-2017 showed the average number of nests rose from 25.6 in the first five years of the period to 89.8 in the final five years.The researchers, from the University of Exeter and Brazilian sea turtle conservation programme TAMAR-ICMBio, believe local conservation efforts have contributed to this increase.But they say conservation of this population is still a concern due to climate change, pollution, coastal development and ""bycatch"" (accidental catch by humans fishing).""The numbers vary year by year, but overall we have seen an increase in the number of leatherback nests in Espírito Santo,"" said Dr Liliana Poggio Colman, of the Centre for Ecology and Conservation on the Exeter's Penryn Campus in Cornwall.""This gentle recovery is probably due, at least in part, to local conservation efforts started by Projeto TAMAR in the 1980s.""Our study revealed a significant decrease in the size of the turtles breeding on these beaches, suggesting that new females are joining the breeding population.""Dr Poggio Colman, who had a scholarship from the programme Science Without Borders, funded by the Brazilian government, added: ""We are encouraged by what we have found, but this is a small population -- fewer than 20 nesting females per year, each laying several clutches -- so their conservation will remain a concern.""Throughout the study period, nests were concentrated in the southern part of the 100-mile (160km) study area, with the protection of core nesting areas being key for the effective conservation of this population.Professor Brendan Godley, who was one of Dr Poggio Colman's PhD supervisors, added: ""It was a great pleasure to help facilitate this collaborative work in Brazil.""By chance, the team was in the field when a major spill of waste mining material impacted in the area in 2015. Average hatching success has, however, remained fairly steady at about 66%.""",Endangered Animals
25,"Unexpected insights into early dinosaur's brain, eating habits and agility","Research, led by the University of Bristol, used advanced imaging and 3-D modelling techniques to digitally rebuild the brain of Thecodontosaurus, better known as the Bristol dinosaur due to its origins in the UK city. The palaeontologists found Thecodontosaurus may have eaten meat, unlike its giant long-necked later relatives including Diplodocus and Brontosaurus, which only fed on plants.Antonio Ballell, lead author of the study published today in Thecodontosaurus lived in the late Triassic age some 205 million years ago and was the size of a large dog. Although its fossils were discovered in the 1800s, many of which are carefully preserved at the University of Bristol, scientists have only very recently been able to deploy imaging software to extract new information without destroying them. 3-D models were generated from CT scans by digitally extracting the bone from the rock, identifying anatomical details about its brain and inner ear previously unseen in the fossil.""Even though the actual brain is long gone, the software allows us to recreate brain and inner ear shape via the dimensions of the cavities left behind. The braincase of Thecodontosaurus is beautifully preserved so we compared it to other dinosaurs, identifying common features and some that are specific to Thecodontosaurus,"" Antonio said. ""Its brain cast even showed the detail of the floccular lobes, located at the back of the brain, which are important for balance. Their large size indicate it was bipedal. This structure is also associated with the control of balance and eye and neck movements, suggesting Thecodontosaurus was relatively agile and could keep a stable gaze while moving fast.""Although Thecodontosaurus is known for being relatively small and agile, its diet has been debated.Antonio, a PhD student at the University of Bristol's School of Earth Sciences, said: ""Our analysis showed parts of the brain associated with keeping the head stable and eyes and gaze steady during movement were well-developed. This could also mean Thecodontosaurus could occasionally catch prey, although its tooth morphology suggests plants were the main component of its diet. It's possible it adopted omnivorous habits.""The researchers were also able to reconstruct the inner ears, allowing them estimate how well it could hear compared to other dinosaurs. Its hearing frequency was relatively high, pointing towards some sort of social complexity -- an ability to recognise varied squeaks and honks from different animals.Professor Mike Benton, study co-author, said: ""It's great to see how new technologies are allowing us to find out even more about how this little dinosaur lived more than 200 million years ago.""We began working on Thecodontosaurus in 1990, and it is the emblem of the Bristol Dinosaur Project, an educational outreach scheme where students go to speak about science in local schools. We're very fortunate to have so many well-preserved fossils of such an important dinosaur here in Bristol. This has helped us understand many aspects of the biology of Thecodontosaurus, but there are still many questions about this species yet to be explored.""",Animals
26,"Munching bugs thwart eager trees, reducing the carbon sink","A new study published in The finding is significant because climate change models typically fail to consider changes in the activities of insects in the ecosystem, says Richard Lindroth, a professor of ecology at the University of Wisconsin-Madison and the leader of the study. The research suggests it's time to add insects to the models.Carbon dioxide typically makes plants grow faster and makes them more efficient in how they use nutrients. But the amount of damage caused by leaf-munching bugs in the study nearly doubled under high carbon dioxide conditions, leading to an estimated 70g of carbon-sequestering biomass lost per meter squared per year.""This is the first time, at this scale, that insects have been shown to compromise the ability of forests to take up carbon dioxide,"" Lindroth says.In addition, as feeding increased, more nutrients moved from the canopy to the forest floor in the form of insect fecal material and chewed-on leaf scraps, mixing into the soil and likely altering the nutrient profile of the forest.""Insects are munching on leaves and they're pooping out remnants, so they are changing the timing of nutrient cycling as well as the quality,"" Lindroth says.John Couture, a former graduate student in Lindroth's lab and the lead author of the study, spent three years with his team studying the impact of elevated carbon dioxide alone, elevated ozone (which is highly toxic to plants) alone, and elevated levels of both gases combined on stands of aspen and birch growing in what was once one of the largest simulated ecosystems in the world, the Aspen Free-Air Carbon dioxide and ozone Enrichment (Aspen FACE) experiment located near Rhinelander, Wisconsin.Unlike a greenhouse or atmospheric chamber, the FACE site (now decommissioned) was a massive outdoor experimental area that allowed trees to grow under natural conditions, like natural soil, sunlight, and rainfall. The only artificial conditions were those that were experimentally manipulated.The site consisted of a dozen stands of trees growing in 30 meter diameter plots, surrounded by a network of PVC pipes designed to vent gases into the environment around them.They were exposed to carbon dioxide and ozone at levels predicted for the year 2050, although Lindroth says the 560 parts-per-million carbon dioxide level studied is probably too low.The trees were planted as saplings in the mid-1990s and by the time Couture collected data for the study from 2006 though 2008, they had grown to resemble any number of the disturbed forest stands found throughout Wisconsin.Couture and his team walked through each site, clipping leaves from the canopy using scissors at the end of pruner poles or from scaffolding near the top of the canopy. They also set out frass baskets -- laundry baskets lined with sheets -- to collect scraps of leaves dropped by messy, munching caterpillars and other bugs dining in the canopy, and to collect their fecal droppings.Tens of thousands of leaves and countless frass baskets later, Couture measured the amount of leaf area consumed by the insects in each plot and sifted through the frass and food droppings in the baskets to assess just how much eating the bugs were doing, to measure the amount of nutrients leaving the trees via their droppings, and to assess the loss of tree biomass.Why insects would do more munching in a carbon dioxide rich forest is in part a matter of chemistry. Because carbon dioxide is a limiting resource for plant growth, high levels of the gas change the way trees use other resources, like nitrogen, typically leading to less nutritious plants.""It's like a slice of Wonder Bread versus a slice of high density, protein-rich bakery bread; there's a lot more protein in the bakery bread than the white bread,"" says Couture. ""Insects have a base level of nutrients they need in order to grow and to reach that, they can choose either to eat higher-nutrient food -- unfortunately, insects don't always have that choice -- or to eat more.""Overall, the team found high ozone plots were less hospitable to insects, reducing their munching behavior and leading to less biomass loss.With the findings, the researchers created models allowing them to predict what could happen in forests under changing environmental conditions.""The big question is, will northern forests grow faster under elevated carbon dioxide?"" says Lindroth. ""Carbon dioxide is a substrate for photosynthesis. It gets converted into sugars, which then become plant biomass. Will trees take up more carbon dioxide and thus help reduce its increase in the atmosphere?""As humans continue to contribute more carbon dioxide to Earth's atmosphere, the answer should be yes as trees act as sponges for the greenhouse gas. But it turns out, very hungry caterpillars and their bug brethren -- in their own quest for food in an elevated carbon dioxide environment -- may limit that growth and reduce the capacity of forests to slow climate warming.",Ozone Holes
27,"Earthquakes in western Solomon Islands have long history, study shows","The findings, published online in The team, led by researchers at The University of Texas Austin, analyzed corals for the study. The coral, in addition to providing a record of when large earthquakes happened during the past 3,000 years, helped provide insight into the relationship between earthquakes and more gradual geological processes, such as tectonic plate convergence and island building through uplift.""We're using corals to bridge this gap between earthquakes and long-term deformation, how the land evolves,"" said lead researcher Kaustubh Thirumalai, a doctoral student at the University of Texas Institute for Geophysics (UTIG), a research unit within the Jackson School of Geosciences.The 2007 event was the only large earthquake recorded in 100 years of monitoring the region that started with British colonization in the 1900s. While studying uplifted coral at multiple sites along the eastern coast of the island of Ranongga the researchers found evidence for six earthquakes in the region during the past 3,000 years, with some being as large as or larger than the 2007 earthquake.""This just shows the importance of paleoseismology and paleogeodesy,"" Thirumalai said. ""If we have 100 years of instrumental data saying there's no big earthquakes here, but we have paleo-records that say we've had something like five giant ones in the last few thousand years, that gives you a different perspective on hazards and risk assessment.""During an earthquake, land near its epicenter can be lifted as much as several meters. When the land is shallow-water seafloor, such as it is around the islands, corals can be lifted out of the water with it. The air kills the soft polyps that form coral, leaving behind their network of skeletons and giving the uplifted corals a rock-like appearance.Uplifted coral make good records for earthquakes because they record the time an earthquake occurs and help estimate how strong it was. The coral's time of death, which can be deduced through a chemical analysis similar to carbon dating, shows when the earthquake occurred, while the amount of uplift present in the land where the coral was found gives clues about its strength.""If we have multiple corals going back in time, and we can date them very precisely, we can go from one earthquake, to many earthquakes, to thousands of years of deformation of the land,"" Thirumalai said.The UTIG research team comprised Thirumalai, Frederick Taylor, Luc Lavier, Cliff Frohlich and Laura Wallace. They collaborated with scientists from National Taiwan University, including Chuan-Chou ""River"" Shen, an expert in coral dating, and researchers from the Chinese Academy of Science; the Department of Mines, Energy and Water Resources in the Solomon Islands; and locals who live on Ranongga Island.The earthquakes in the region are a result of plate tectonic motion near the island; only four kilometers offshore the Pacific Plate starts to subduct beneath the Australian Plate. A theory of island building says that uplifts during earthquakes are one of the main drivers of land creation and uprising.However, the earthquake record suggested by the corals was not enough to account for the measured rate of tectonic convergence. This suggests that other geological processes besides those that directly cause earthquakes play an important role in tectonic plate movement and uplift of the islands.Learning the detailed relationship between earthquakes and these forces will take more research, said Thirumalai. But this study has shown uplifted coral are important geological tools.Data collected during a rapid-response mission to study uplifted corals in the wake of the 2007 earthquake served an important role in the research, Thirumalai said. The mission, which Taylor led and the Jackson School funded, provided data that served as a benchmark for analyzing the strength of earthquakes that happened before 2007.",Earthquakes
